Demand,Penetration,Travel Time,Run,Waiting Time,Time Loss,Waiting Count,Average Speed,Crossing,Following,Merging,RTT
High,Control,173,0,11,69.17,6,13.56,0,4,0,162
High,Control,190,1,19,86.72,5,11.22,2,2,0,171
High,Control,236,2,58,132.83,6,9.81,0,7,0,178
High,Control,174,3,14,70.96,5,13,1,3,0,160
High,Control,451,4,303,347.51,4,0,0,2,0,148
High,Control,166,5,6,62.19,4,14.1,1,1,0,160
High,Control,148,6,11,44.68,4,15.93,0,1,0,137
High,Control,163,7,5,59.84,1,11.48,0,3,0,158
High,Control,176,8,10,72.4,4,13.11,0,4,0,166
High,Control,183,9,19,79.4,4,12.97,0,2,0,164
High,Control,164,10,8,60.97,4,12.73,0,2,0,156
High,Control,196,11,33,92.92,3,11.3,0,5,0,163
High,Control,168,12,6,64.41,4,13.1,0,6,0,162
High,Control,190,13,10,86.39,6,10.48,0,2,0,180
High,Control,170,14,8,67.06,3,11.48,1,2,0,162
High,Control,228,15,50,124.94,5,9.4,0,3,0,178
High,Control,166,16,6,62.78,3,12.46,0,4,0,160
High,Control,178,17,11,74.71,4,10.36,0,3,0,167
High,Control,163,18,9,59.68,3,13.76,0,0,0,154
High,Control,212,19,44,108.97,2,9.93,1,3,0,168
High,Control,175,20,7,71.19,3,12.03,0,1,0,168
High,Control,187,21,19,83.49,6,11.02,0,4,0,168
High,Control,487,22,317,383.73,5,0,1,2,0,170
High,Control,175,23,7,71.41,2,10.95,2,4,0,168
High,Control,158,24,7,54.13,4,15,0,2,0,151
High,Control,222,25,60,118.39,5,10.61,0,4,0,162
High,Control,203,26,31,99.3,3,10.43,0,4,0,172
High,Control,186,27,21,82.16,5,11.5,1,1,0,165
High,Control,172,28,3,68.96,2,12.59,0,2,0,169
High,Control,216,29,47,112.21,4,9.4,0,4,0,169
High,Half,163,0,8,59.84,4,13.87,0,5,0,155
High,Half,455,1,312,351.82,4,0,1,4,0,143
High,Half,445,2,302,342.44,2,0,3,3,0,143
High,Half,196,3,42,92.04,4,10.92,2,3,0,154
High,Half,164,4,8,60.38,3,12.9,0,1,0,156
High,Half,150,5,7,46.15,4,15.55,0,5,0,143
High,Half,176,6,2,74.21,2,11.3,0,7,0,174
High,Half,173,7,11,69.48,3,10.96,7,3,0,162
High,Half,459,8,293,355.5,4,0,0,3,0,166
High,Half,148,9,5,44.27,2,15.87,0,3,0,143
High,Half,145,10,5,41.95,1,14.9,0,3,0,140
High,Half,173,11,13,69.68,6,12.98,1,3,0,160
High,Half,164,12,12,60.2,4,14.96,0,1,0,152
High,Half,144,13,9,40.39,2,16.12,0,3,0,135
High,Half,170,14,15,66.39,5,14.08,1,3,0,155
High,Half,185,15,16,81.96,4,11.66,0,2,0,169
High,Half,212,16,34,107.99,5,10.06,0,3,0,178
High,Half,152,17,8,48.69,4,15.66,0,1,0,144
High,Half,173,18,13,71,4,13.09,0,5,0,160
High,Half,169,19,12,65.26,3,12.84,1,4,0,157
High,Half,177,20,15,73.14,4,12.91,0,3,0,162
High,Half,191,21,11,87.89,6,10.77,2,5,0,180
High,Half,179,22,21,75.28,5,12.39,0,1,0,158
High,Half,161,23,6,57.37,3,14.77,0,5,0,155
High,Half,154,24,8,50.58,3,15.34,0,1,0,146
High,Half,136,25,0,32.36,0,16.4,0,2,0,136
High,Half,164,26,4,60.52,1,13.66,0,2,0,160
High,Half,195,27,43,91,5,12.86,0,5,0,152
High,Half,159,28,21,55.65,4,14.94,0,2,0,138
High,Half,154,29,10,50.71,3,15.1,0,1,0,144
High,Minority,166,0,11,63,3,12.88,2,5,0,155
High,Minority,227,1,41,123.42,3,8.41,0,4,0,186
High,Minority,181,2,8,77.25,2,11.15,1,5,0,173
High,Minority,169,3,5,65.2,3,13.13,0,3,0,164
